"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"80",27,"abs_max_d2",0.62125,24,NA,0.0127549612275704,"jack_quant",0.646249264630243,0.596250735369757,0.737,0.5215,1.26330660543329,0.55,25,0.25,0,"skew","gam_ns",1.73574156553808
"81",27,"abs_max_d2",0.72,1,0,NA,"sim_int",NA,NA,NA,NA,1.36205660543329,0.55,25,0.25,0,"skew","gam_ns",1.73574156553808
"82",28,"abs_max_d2",-0.4772,25,1,0.0390268782023649,"none",-0.400708724294334,-0.553691275705666,-0.0200000000000006,-0.652,0.164856605433286,0.55,25,0.25,0,"skew","gam",2.31762108658894
"83",28,"abs_max_d2",-0.505,24,NA,0.0279616264188061,"jack_quant",-0.450196219269976,-0.559803780730024,-0.183,-0.654,0.137056605433286,0.55,25,0.25,0,"skew","gam",2.31762108658894
"84",28,"abs_max_d2",-1.245,2,0,NA,"sim_int",NA,NA,-0.62275,-1.86725,-0.602943394566714,0.55,25,0.25,0,"skew","gam",2.31762108658894
"85",29,"abs_max_d2",-0.4276,25,1,0.0157594768666701,"none",-0.396711992926134,-0.458488007073866,-0.274,-0.542,0.214456605433286,0.55,25,0.25,0,"skew","gam",6.56467509171889
"86",29,"abs_max_d2",-0.4276,25,NA,0.0157594768666701,"jack_quant",-0.396711992926134,-0.458488007073866,-0.274,-0.542,0.214456605433286,0.55,25,0.25,0,"skew","gam",6.56467509171889
"87",29,"abs_max_d2",-0.513333333333333,6,0,0.184361962815906,"sim_int",-0.151990526095046,-0.874676140571621,-0.18375,-1.22125,0.128723272099952,0.55,25,0.25,0,"skew","gam",6.56467509171889
"88",30,"abs_max_d2",-0.616,25,1,0.00719278187568003,"none",-0.601902406575015,-0.630097593424985,-0.528,-0.658,0.0260566054332858,0.55,25,0.25,0,"skew","gam",25.2418979311616
"89",30,"abs_max_d2",-0.616,25,NA,0.00719278187568003,"jack_quant",-0.601902406575015,-0.630097593424985,-0.528,-0.658,0.0260566054332858,0.55,25,0.25,0,"skew","gam",25.2418979311616
"90",30,"abs_max_d2",-0.616,25,1,0.00719278187568003,"sim_int",-0.601902406575015,-0.630097593424985,-0.528,-0.658,0.0260566054332858,0.55,25,0.25,0,"skew","gam",25.2418979311616
"91",31,"abs_max_d2",-0.606,25,1,0.0189846429164909,"none",-0.568790783624324,-0.643209216375676,-0.406,-0.728,0.0360566054332858,0.55,25,0.25,0,"skew","gam",10.1365629343371
"92",31,"abs_max_d2",-0.606,25,NA,0.0189846429164909,"jack_quant",-0.568790783624324,-0.643209216375676,-0.406,-0.728,0.0360566054332858,0.55,25,0.25,0,"skew","gam",10.1365629343371
"93",31,"abs_max_d2",-0.618333333333333,24,1,0.0148294228896075,"sim_int",-0.589268198558189,-0.647398468108478,-0.47575,-0.7285,0.0237232720999525,0.55,25,0.25,0,"skew","gam",10.1365629343371
"94",32,"abs_max_d2",-0.4992,25,1,0.00761303706370417,"none",-0.484278721542171,-0.514121278457829,-0.41,-0.56,0.142856605433286,0.55,25,0.25,0,"skew","gam",9.49442944513009
"95",32,"abs_max_d2",-0.4992,25,NA,0.00761303706370417,"jack_quant",-0.484278721542171,-0.514121278457829,-0.41,-0.56,0.142856605433286,0.55,25,0.25,0,"skew","gam",9.49442944513009
"96",32,"abs_max_d2",-0.4992,25,1,0.00761303706370417,"sim_int",-0.484278721542171,-0.514121278457829,-0.41,-0.56,0.142856605433286,0.55,25,0.25,0,"skew","gam",9.49442944513009
"97",33,"abs_max_d2",-0.38,15,1,0.00880630571852709,"none",-0.362739957954838,-0.397260042045162,-0.35,-0.455,0.262056605433286,0.55,25,0.25,0,"skew","lm_ns",-0.0605960010664859
"98",33,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.0605960010664859
"99",33,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.0605960010664859
"100",34,"abs_max_d2",0.3944,25,1,0.0658704536698106,"none",0.523503716838143,0.265296283161857,0.694,-0.402,1.03645660543329,0.55,25,0.25,0,"skew","gam",4.63326139920777
"101",34,"abs_max_d2",0.3944,25,NA,0.0658704536698106,"jack_quant",0.523503716838143,0.265296283161857,0.694,-0.402,1.03645660543329,0.55,25,0.25,0,"skew","gam",4.63326139920777
"102",34,"abs_max_d2",0.11,3,0,0.109772492000501,"sim_int",0.325150130814193,-0.105150130814192,0.253,-0.0414999999999998,0.752056605433286,0.55,25,0.25,0,"skew","gam",4.63326139920777
"103",35,"abs_max_d2",-0.422,25,1,0.0117260393995586,"none",-0.399017385095568,-0.444982614904432,-0.302,-0.478,0.220056605433286,0.55,25,0.25,0,"skew","gam",9.61605647880944
"104",35,"abs_max_d2",-0.422,25,NA,0.0117260393995586,"jack_quant",-0.399017385095568,-0.444982614904432,-0.302,-0.478,0.220056605433286,0.55,25,0.25,0,"skew","gam",9.61605647880944
"105",35,"abs_max_d2",-0.4325,24,1,0.00496680854730253,"sim_int",-0.422765234129181,-0.442234765870819,-0.39,-0.4785,0.209556605433286,0.55,25,0.25,0,"skew","gam",9.61605647880944
"106",36,"abs_max_d2",-0.91375,24,1,0.00681409913854673,"none",-0.900394611101363,-0.927105388898637,-0.85575,-0.977,-0.271693394566714,0.55,25,0.25,0,"skew","gam",5.62522753275981
"107",36,"abs_max_d2",-0.91375,24,NA,0.00681409913854673,"jack_quant",-0.900394611101363,-0.927105388898637,-0.85575,-0.977,-0.271693394566714,0.55,25,0.25,0,"skew","gam",5.62522753275981
"108",36,"abs_max_d2",-0.91375,24,1,0.00681409913854673,"sim_int",-0.900394611101363,-0.927105388898637,-0.85575,-0.977,-0.271693394566714,0.55,25,0.25,0,"skew","gam",5.62522753275981
"109",37,"abs_max_d2",0.165,2,0,NA,"none",NA,NA,0.74925,-0.41925,0.807056605433286,0.55,25,0.25,0,"skew","lm_ns",-1.71922920344514e-10
"110",37,"abs_max_d2",0.165,2,NA,NA,"jack_quant",NA,NA,0.74925,-0.41925,0.807056605433286,0.55,25,0.25,0,"skew","lm_ns",-1.71922920344514e-10
"111",37,"abs_max_d2",0.165,2,0,NA,"sim_int",NA,NA,0.74925,-0.41925,0.807056605433286,0.55,25,0.25,0,"skew","lm_ns",-1.71922920344514e-10
"112",38,"abs_max_d2",-0.370833333333333,24,1,0.0273320039020758,"none",-0.317263590059956,-0.42440307660671,-0.15075,-0.59525,0.271223272099953,0.55,25,0.25,0,"skew","gam_ns",0.254246400611137
"113",38,"abs_max_d2",-0.370833333333333,24,NA,0.0273320039020758,"jack_quant",-0.317263590059956,-0.42440307660671,-0.15075,-0.59525,0.271223272099953,0.55,25,0.25,0,"skew","gam_ns",0.254246400611137
"114",38,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","gam_ns",0.254246400611137
"115",39,"abs_max_d2",-0.4888,25,1,0.00222984802670994,"none",-0.484429578176651,-0.493170421823349,-0.47,-0.51,0.153256605433286,0.55,25,0.25,0,"skew","gam",11.3991362943276
"116",39,"abs_max_d2",-0.4888,25,NA,0.00222984802670994,"jack_quant",-0.484429578176651,-0.493170421823349,-0.47,-0.51,0.153256605433286,0.55,25,0.25,0,"skew","gam",11.3991362943276
"117",39,"abs_max_d2",-0.4888,25,1,0.00222984802670994,"sim_int",-0.484429578176651,-0.493170421823349,-0.47,-0.51,0.153256605433286,0.55,25,0.25,0,"skew","gam",11.3991362943276
"118",40,"abs_max_d2",-0.0275999999999999,25,1,0.00890302695092455,"none",-0.0101503878227984,-0.0450496121772015,0.0599999999999999,-0.0899999999999999,0.614456605433286,0.55,25,0.25,0,"skew","gam_ns",0.766860166099534
"119",40,"abs_max_d2",-0.0275999999999999,25,NA,0.00890302695092455,"jack_quant",-0.0101503878227984,-0.0450496121772015,0.0599999999999999,-0.0899999999999999,0.614456605433286,0.55,25,0.25,0,"skew","gam_ns",0.766860166099534
"120",40,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","gam_ns",0.766860166099534
"121",41,"abs_max_d2",0.793,10,0,0.017072828748672,"none",0.826462129461617,0.759537870538383,0.8865,0.74225,1.43505660543329,0.55,25,0.25,0,"skew","lm_ns",-0.00513632673462894
"122",41,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.00513632673462894
"123",41,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-0.00513632673462894
"124",42,"abs_max_d2",-0.1956,25,1,0.0237396176136947,"none",-0.149071204470406,-0.242128795529594,0.09,-0.334,0.446456605433286,0.55,25,0.25,0,"skew","gam_ns",0.898252622139736
"125",42,"abs_max_d2",-0.1956,25,NA,0.0237396176136947,"jack_quant",-0.149071204470406,-0.242128795529594,0.09,-0.334,0.446456605433286,0.55,25,0.25,0,"skew","gam_ns",0.898252622139736
"126",42,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","gam_ns",0.898252622139736
"127",43,"abs_max_d2",-0.6748,25,1,0.071258820116842,"none",-0.535135278990171,-0.814464721009829,0.205999999999999,-1.01,-0.0327433945667142,0.55,25,0.25,0,"skew","gam",19.4729415403872
"128",43,"abs_max_d2",-0.6748,25,NA,0.071258820116842,"jack_quant",-0.535135278990171,-0.814464721009829,0.205999999999999,-1.01,-0.0327433945667142,0.55,25,0.25,0,"skew","gam",19.4729415403872
"129",43,"abs_max_d2",-0.6748,25,1,0.071258820116842,"sim_int",-0.535135278990171,-0.814464721009829,0.205999999999999,-1.01,-0.0327433945667142,0.55,25,0.25,0,"skew","gam",19.4729415403872
"130",44,"abs_max_d2",-0.977916666666667,24,1,0.00907809359055167,"none",-0.960123930180901,-0.995709403152432,-0.87,-1.05125,-0.335860061233381,0.55,25,0.25,0,"skew","gam",7.59434163433714
