"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"106",36,"abs_max_d2",0.078421052631579,19,1,0.0155011580191618,"none",0.1088027640678,0.0480393411953577,0.1705,-0.0680000000000001,0.720477658064865,0.0275,25,0.25,1,"skew","gam_ns",0.0522248087383872
"107",36,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.0522248087383872
"108",36,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.0522248087383872
"109",37,"abs_max_d2",0.6424,25,1,0.0258822118237389,"none",0.693128203014765,0.591671796985235,0.758,0.402,1.28445660543329,0.0275,25,0.25,1,"skew","gam_ns",0.934137004790756
"110",37,"abs_max_d2",0.6424,25,NA,0.0258822118237389,"jack_quant",0.693128203014765,0.591671796985235,0.758,0.402,1.28445660543329,0.0275,25,0.25,1,"skew","gam_ns",0.934137004790756
"111",37,"abs_max_d2",0.8,1,0,NA,"sim_int",NA,NA,NA,NA,1.44205660543329,0.0275,25,0.25,1,"skew","gam_ns",0.934137004790756
"112",38,"abs_max_d2",-0.67,1,0,NA,"none",NA,NA,NA,NA,-0.0279433945667141,0.0275,25,0.25,1,"skew","lm_ns",-4.8117954065674e-11
"113",38,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.8117954065674e-11
"114",38,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.8117954065674e-11
"115",39,"abs_max_d2",0.5948,25,1,0.0150476096292918,"none",0.62429277292683,0.56530722707317,0.664,0.366,1.23685660543329,0.0275,25,0.25,1,"skew","gam",3.7974429103752
"116",39,"abs_max_d2",0.5948,25,NA,0.0150476096292918,"jack_quant",0.62429277292683,0.56530722707317,0.664,0.366,1.23685660543329,0.0275,25,0.25,1,"skew","gam",3.7974429103752
"117",39,"abs_max_d2",0.37,1,0,NA,"sim_int",NA,NA,NA,NA,1.01205660543329,0.0275,25,0.25,1,"skew","gam",3.7974429103752
"118",40,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.25623955682386e-10
"119",40,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.25623955682386e-10
"120",40,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.25623955682386e-10
"121",41,"abs_max_d2",-0.0899999999999999,1,0,NA,"none",NA,NA,NA,NA,0.552056605433286,0.0275,25,0.25,1,"skew","lm_ns",-4.75495198770659e-11
"122",41,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.75495198770659e-11
