"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"78",26,"abs_max_d2",-0.3824,25,1,0.00896133670584671,"sim_int",-0.364836102803204,-0.399963897196796,-0.298,-0.438,0.259656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.4798800042351
"79",27,"abs_max_d2",-0.7856,25,1,0.0340652967761099,"none",-0.718833245196156,-0.852366754803844,-0.458000000000001,-0.84,-0.143543394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",30.3350351487436
"80",27,"abs_max_d2",-0.7856,25,NA,0.0340652967761099,"jack_quant",-0.718833245196156,-0.852366754803844,-0.458000000000001,-0.84,-0.143543394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",30.3350351487436
"81",27,"abs_max_d2",-0.81875,24,1,0.00413900712275213,"sim_int",-0.810637695107651,-0.826862304892349,-0.77575,-0.84,-0.176693394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",30.3350351487436
"82",28,"abs_max_d2",-0.6392,25,1,0.00143372087784044,"none",-0.63638995871555,-0.64201004128445,-0.622,-0.65,0.0028566054332857,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",39.0821405535098
"83",28,"abs_max_d2",-0.6392,25,NA,0.00143372087784044,"jack_quant",-0.63638995871555,-0.64201004128445,-0.622,-0.65,0.0028566054332857,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",39.0821405535098
"84",28,"abs_max_d2",-0.6392,25,1,0.00143372087784044,"sim_int",-0.63638995871555,-0.64201004128445,-0.622,-0.65,0.0028566054332857,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",39.0821405535098
"85",29,"abs_max_d2",-0.6136,25,1,0.00801214356114795,"none",-0.597896487181185,-0.629303512818814,-0.528,-0.654,0.0284566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",68.8960522452355
"86",29,"abs_max_d2",-0.6136,25,NA,0.00801214356114795,"jack_quant",-0.597896487181185,-0.629303512818814,-0.528,-0.654,0.0284566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",68.8960522452355
"87",29,"abs_max_d2",-0.6136,25,1,0.00801214356114795,"sim_int",-0.597896487181185,-0.629303512818814,-0.528,-0.654,0.0284566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",68.8960522452355
"88",30,"abs_max_d2",-0.6424,25,1,0.00581186525805423,"none",-0.631008953411214,-0.653791046588786,-0.564,-0.674,-0.000343394566714172,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",77.7076966795207
"89",30,"abs_max_d2",-0.6424,25,NA,0.00581186525805423,"jack_quant",-0.631008953411214,-0.653791046588786,-0.564,-0.674,-0.000343394566714172,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",77.7076966795207
"90",30,"abs_max_d2",-0.6424,25,1,0.00581186525805423,"sim_int",-0.631008953411214,-0.653791046588786,-0.564,-0.674,-0.000343394566714172,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",77.7076966795207
"91",31,"abs_max_d2",-0.68,25,1,0.0103077640640441,"none",-0.659797153673337,-0.700202846326663,-0.566,-0.734,-0.0379433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",55.4849410641681
"92",31,"abs_max_d2",-0.68,25,NA,0.0103077640640441,"jack_quant",-0.659797153673337,-0.700202846326663,-0.566,-0.734,-0.0379433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",55.4849410641681
"93",31,"abs_max_d2",-0.68,25,1,0.0103077640640441,"sim_int",-0.659797153673337,-0.700202846326663,-0.566,-0.734,-0.0379433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",55.4849410641681
"94",32,"abs_max_d2",-0.402,25,1,0.00580349511549339,"none",-0.390625358589179,-0.413374641410821,-0.342,-0.442,0.240056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",61.3844552909969
"95",32,"abs_max_d2",-0.402,25,NA,0.00580349511549339,"jack_quant",-0.390625358589179,-0.413374641410821,-0.342,-0.442,0.240056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",61.3844552909969
"96",32,"abs_max_d2",-0.402,25,1,0.00580349511549339,"sim_int",-0.390625358589179,-0.413374641410821,-0.342,-0.442,0.240056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",61.3844552909969
"97",33,"abs_max_d2",-0.4572,25,1,0.00830244274629796,"none",-0.44092751123355,-0.47347248876645,-0.392,-0.54,0.184856605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",6.70097030360292
"98",33,"abs_max_d2",-0.4572,25,NA,0.00830244274629796,"jack_quant",-0.44092751123355,-0.47347248876645,-0.392,-0.54,0.184856605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",6.70097030360292
"99",33,"abs_max_d2",-0.461904761904762,21,1,0.00890558947007574,"sim_int",-0.444450127282314,-0.479359396527209,-0.405,-0.55,0.180151843528524,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",6.70097030360292
"100",34,"abs_max_d2",-0.6556,25,1,0.0354929570478426,"none",-0.586035082481401,-0.725164917518598,-0.168,-0.834,-0.0135433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.7741868615027
"101",34,"abs_max_d2",-0.6556,25,NA,0.0354929570478426,"jack_quant",-0.586035082481401,-0.725164917518598,-0.168,-0.834,-0.0135433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.7741868615027
"102",34,"abs_max_d2",-0.6556,25,1,0.0354929570478426,"sim_int",-0.586035082481401,-0.725164917518598,-0.168,-0.834,-0.0135433945667141,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.7741868615027
"103",35,"abs_max_d2",0.07,3,0,0.30797727188869,"none",0.673624360958732,-0.533624360958732,0.427,-0.3805,0.712056605433286,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",2.24244299573684e-07
"104",35,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",2.24244299573684e-07
